feature,priv_mean_abs_shap,unpriv_mean_abs_shap,difference
credit_amount_1403,,0.0,
credit_amount_1409,,0.0,
credit_amount_1410,,0.0,
credit_amount_1412,,0.00043271285998164327,
credit_amount_1413,,0.0,
credit_amount_1414,,0.0,
credit_amount_14179,,0.0,
credit_amount_1418,,0.0,
credit_amount_1422,,0.0,
credit_amount_1424,,0.0,
credit_amount_14318,,0.0,
credit_amount_1433,,0.0,
credit_amount_1437,,0.0,
credit_amount_1442,,0.0,
credit_amount_14421,,0.0,
credit_amount_1444,,0.0,
credit_amount_1445,,0.001638811529579403,
credit_amount_1449,,0.0,
credit_amount_1453,,0.0,
credit_amount_1455,,0.0,
credit_amount_14555,,0.00624899624790366,
credit_amount_1459,,0.0,
credit_amount_1469,,0.0,
credit_amount_1471,,0.0,
credit_amount_1473,,0.0,
credit_amount_1474,,0.0,
credit_amount_1478,,0.0,
credit_amount_14782,,0.0,
credit_amount_1480,,0.0,
credit_amount_1484,,0.0,
credit_amount_14896,,0.0,
credit_amount_1493,,0.0,
credit_amount_1494,,0.0,
credit_amount_1495,,0.0,
credit_amount_1498,,0.0,
credit_amount_1501,,0.0,
credit_amount_1503,,0.0,
credit_amount_1505,,0.0,
credit_amount_1512,,0.0,
credit_amount_1514,,0.0,
credit_amount_1516,,0.0,
credit_amount_1520,,0.0,
credit_amount_1521,,0.0,
credit_amount_1525,,0.0,
credit_amount_1526,,0.0,
credit_amount_1530,,0.0,
credit_amount_1532,,0.0,
credit_amount_1533,,0.0,
credit_amount_1534,,0.0,
credit_amount_1537,,0.0,
credit_amount_1538,,0.0,
credit_amount_1542,,0.0,
credit_amount_1543,,0.0,
credit_amount_1544,,6.575735410456128e-05,
credit_amount_1546,,0.0,
credit_amount_1549,,0.0,
credit_amount_1552,,0.0,
credit_amount_1553,,0.0,
credit_amount_1554,,0.0,
credit_amount_1555,,0.0,
credit_amount_1559,,0.0,
credit_amount_15653,,0.0005560026418610242,
credit_amount_1567,,0.0,
credit_amount_15672,,0.0,
credit_amount_1568,,0.0,
credit_amount_1569,,0.0,
credit_amount_1572,,0.0,
credit_amount_1574,,0.0,
credit_amount_1577,,0.0,
credit_amount_1582,,0.0,
credit_amount_1585,,0.0,
credit_amount_15857,,0.0,
credit_amount_1591,,0.0,
credit_amount_1592,,0.0,
credit_amount_15945,,0.0,
credit_amount_1595,,0.0,
credit_amount_1597,,0.007165631001637941,
credit_amount_1602,,0.0,
credit_amount_1603,,0.0,
credit_amount_1620,,0.0,
credit_amount_1647,,0.0,
credit_amount_1655,,0.0,
credit_amount_1657,,0.0,
credit_amount_1659,,0.0,
credit_amount_1670,,0.0,
credit_amount_1680,,0.0,
