model,accuracy,roc_auc,dp_sex,dp_age_group,final_lambda
LogisticRegression,0.68,0.7142857142857144,0.0,0.2391304347826086,
FairLogisticRegression,0.68,0.7380952380952381,0.0,0.2391304347826086,
AdaptiveControllerLR,0.68,0.6825396825396826,,0.2391304347826086,0.1551368094992254
