alpha,accuracy,roc_auc,final_lambda,dp_age_group
0.1,0.68,0.6825396825396826,0.03871966959215278,0.23913043478260865
0.3,0.68,0.6825396825396826,0.11615900877645838,0.23913043478260865
0.5,0.68,0.6825396825396826,0.15513680949922548,0.23913043478260865
0.7,0.68,0.6746031746031746,0.16334537945276179,0.23913043478260865
