threshold,accuracy,dp
0.05,0.7986577181208053,0.0
0.06836734693877551,0.7986577181208053,0.0
0.08673469387755102,0.7986577181208053,0.0
0.10510204081632653,0.7986577181208053,0.0
0.12346938775510204,0.7986577181208053,0.0
0.14183673469387753,0.7986577181208053,0.0
0.16020408163265304,0.7986577181208053,0.0
0.17857142857142855,0.7986577181208053,0.0
0.19693877551020406,0.7986577181208053,0.0
0.21530612244897956,0.7986577181208053,0.0
0.23367346938775507,0.7986577181208053,0.0
0.2520408163265306,0.7986577181208053,0.0
0.2704081632653061,0.7973154362416107,-0.002666666666666706
0.2887755102040816,0.7973154362416107,-0.002630630630630626
0.3071428571428571,0.7986577181208053,7.207207207204913e-05
0.3255102040816326,0.7946308724832215,0.0028108108108108043
0.3438775510204081,0.7946308724832215,-0.0025225225225224968
0.36224489795918363,0.7973154362416107,0.0028828828828828534
0.38061224489795914,0.7959731543624161,0.0055855855855856396
0.39897959183673465,0.7959731543624161,0.0055855855855856396
0.41734693877551016,0.7959731543624161,0.01099099099099099
0.43571428571428567,0.8,0.013729729729729745
0.4540816326530612,0.8,0.008396396396396444
0.4724489795918367,0.8040268456375839,0.011207207207207248
0.4908163265306122,0.8040268456375839,0.016648648648648567
0.5091836734693878,0.8040268456375839,0.02749549549549557
0.5275510204081633,0.8,0.024936936936936882
0.5459183673469388,0.7959731543624161,0.011675675675675734
0.5642857142857143,0.7906040268456376,0.022630630630630644
0.5826530612244898,0.7879194630872484,0.033513513513513504
0.6010204081632653,0.7838926174496644,0.03639639639639636
0.6193877551020408,0.7865771812080536,0.036576576576576536
0.6377551020408163,0.7798657718120805,0.028756756756756707
0.6561224489795918,0.7651006711409396,0.03700900900900894
0.6744897959183673,0.7543624161073825,0.053333333333333344
0.6928571428571428,0.7449664429530202,0.056288288288288246
0.7112244897959183,0.7328859060402685,0.043279279279279326
0.7295918367346939,0.7221476510067114,0.054342342342342254
0.7479591836734694,0.6993288590604027,0.0843963963963964
0.7663265306122449,0.6885906040268457,0.09549549549549541
0.7846938775510204,0.6536912751677852,0.09614414414414418
0.8030612244897959,0.6375838926174496,0.09127927927927926
0.8214285714285714,0.6067114093959731,0.08911711711711712
0.8397959183673469,0.5838926174496645,0.09794594594594597
0.8581632653061224,0.5409395973154363,0.0987027027027027
0.8765306122448979,0.5006711409395973,0.11560360360360361
0.8948979591836734,0.45503355704697984,0.09495495495495498
0.9132653061224489,0.4147651006711409,0.08508108108108106
0.9316326530612244,0.3624161073825503,0.08868468468468468
0.95,0.3302013422818792,0.062450450450450445
