model,accuracy,roc_auc,dp_sex,dp_age_group
LogisticRegression,0.68,0.7142857142857144,0.0,0.2391304347826086
RandomForest,0.76,0.7420634920634921,0.0,-0.217391304347826
FairLogisticRegression,0.68,0.7380952380952381,0.0,0.2391304347826086
