metric,accuracy,roc_auc,fairness_violation,final_lambda,final_threshold
dp,0.8013422818791947,0.7088515406162466,-0.02738738738738744,-0.01643243243243246,0.4958919843303306
eop,0.8013422818791947,0.7088515406162466,-0.013366325446862337,0.0,0.5
eod,0.8013422818791947,0.7088515406162466,0.15377531988270243,0.07176370050531121,0.5179332293996675
