dataset,model,accuracy,roc_auc,dp
German,LogisticRegression,0.68,0.7063492063492063,0.2391304347826086
German,RandomForest,0.76,0.8134920634920635,-0.1304347826086956
German,FairLogisticRegression,0.68,0.7063492063492063,0.2391304347826086
German,AdaptiveControllerLR,0.68,0.6825396825396826,0.2391304347826086
LendingClub,LogisticRegression,0.810738255033557,0.7102072829131651,-0.0184504504504504
LendingClub,RandomForest,0.7973154362416107,0.6784705882352942,0.0247207207207207
LendingClub,FairLogisticRegression,0.8013422818791947,0.6822072829131652,-0.0372252252252252
LendingClub,AdaptiveControllerLR,0.7973154362416107,0.5981624649859945,0.0027027027027026
