model,accuracy_mean,accuracy_std,roc_mean,roc_std,dp_mean,dp_std
AdaptiveController,0.7962416107382551,0.004688389046059879,0.695249299719888,0.015517897841973428,-0.02082374482098297,0.009598450548532835
LogisticRegression,0.7954362416107383,0.005419229325687625,0.6651563025210084,0.012254523627613404,0.007935842659816639,0.015095707618696112
RandomForest,0.7951677852348993,0.0038670765881578806,0.6778375350140056,0.023340086654391055,-0.026425444248820006,0.023742545089554007
